Player,Squad,Comp,Pos,Min,Gls,xG,npxG,Ast,xAG,Sh/90,SoT/90,PrgC,PrgP,PrgR,Cmp%,KP,xA,TklW,Int,Tkl+Int,Clr,Succ%,Carries,Touches
Sirlord Conteh,Heidenheim,de Bundesliga,"FW,MF",892,1,2.1,2.1,1,2.6,1.31,0.5,29,19,75,70.5,14,1.4,5,1,10,8,46.2,195,301
Lewis Cook,Bournemouth,eng Premier League,"MF,DF",2978,1,0.9,0.9,3,4.1,0.42,0.12,33,158,52,77.2,48,3.8,42,41,122,70,65.0,825,1900
Danny da Costa,Mainz 05,de Bundesliga,DF,2006,0,0.1,0.1,1,0.6,0.22,0.04,21,109,22,78.4,10,1.3,23,27,69,95,47.1,813,1451
Vladimír Coufal,West Ham,eng Premier League,DF,1067,0,0.3,0.3,0,0.7,0.59,0.17,26,39,33,78.6,8,1.0,15,8,30,39,33.3,298,736
Yan Couto,Dortmund,de Bundesliga,"DF,FW",895,0,0.3,0.3,0,0.9,0.6,0.2,46,68,83,81.1,12,2.3,16,10,34,32,39.4,483,849
Aaron Cresswell,West Ham,eng Premier League,DF,824,0,0.2,0.2,0,1.3,0.55,0.0,6,36,4,82.6,9,1.9,7,8,19,37,50.0,291,687
Marc Cucurella,Chelsea,eng Premier League,DF,2988,5,2.8,2.8,1,2.1,0.72,0.33,35,118,117,87.7,19,2.4,45,28,95,95,26.7,944,2244
Matheus Cunha,Wolves,eng Premier League,"MF,FW",2597,15,8.6,8.6,6,7.7,3.81,1.52,112,144,161,71.6,56,5.3,22,17,55,23,44.5,904,1561
Tomáš Čvančara,Gladbach,de Bundesliga,FW,831,2,3.8,3.8,0,0.9,2.6,0.97,15,23,50,71.5,6,0.5,1,5,9,17,35.3,185,336
Finn Dahmen,Augsburg,de Bundesliga,GK,1710,0,0.0,0.0,0,0.0,0.0,0.0,0,3,0,69.4,0,0.1,0,0,1,9,,479,811
Thomas Dähne,Holstein Kiel,de Bundesliga,GK,810,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,77.0,0,0.0,0,0,0,7,,234,432
Patson Daka,Leicester City,eng Premier League,"FW,MF",736,1,1.3,1.3,0,0.1,1.83,0.49,11,8,36,72.1,1,0.1,10,1,20,12,13.3,141,252
Diogo Dalot,Manchester Utd,eng Premier League,DF,2814,0,2.0,2.0,3,2.0,0.8,0.16,62,103,168,80.5,26,2.5,40,37,105,72,50.9,1126,1983
Mikkel Damsgaard,Brentford,eng Premier League,"MF,FW",2911,2,2.8,2.8,10,8.4,1.08,0.22,73,234,137,72.4,63,7.0,44,27,110,31,51.5,1076,1883
Kevin Danso,Tottenham,eng Premier League,DF,842,0,0.4,0.4,0,0.1,0.75,0.32,11,19,1,86.5,2,0.1,5,6,13,71,66.7,448,676
Bence Dárdai,Wolfsburg,de Bundesliga,MF,1304,1,1.0,1.0,1,1.0,0.76,0.07,5,39,24,80.2,11,1.0,14,12,36,28,25.0,287,595
Alphonso Davies,Bayern Munich,de Bundesliga,DF,1560,1,1.2,1.2,2,1.6,0.98,0.17,81,120,140,89.7,27,2.2,17,13,43,22,45.6,895,1463
Ben Davies,Tottenham,eng Premier League,DF,1331,0,0.3,0.3,0,0.2,0.34,0.07,14,52,6,87.6,2,0.5,11,12,29,81,100.0,664,1186
Leif Davis,Ipswich Town,eng Premier League,DF,2743,1,1.0,1.0,2,4.9,0.52,0.07,52,59,137,71.6,61,4.7,27,25,71,77,34.2,708,1562
Craig Dawson,Wolves,eng Premier League,DF,971,0,0.5,0.5,0,0.0,0.46,0.09,6,20,5,86.6,2,0.1,3,9,24,52,20.0,390,671
Kevin De Bruyne,Manchester City,eng Premier League,"MF,FW",1702,4,5.1,5.1,7,8.0,3.01,0.79,51,157,150,75.9,57,6.7,9,7,24,10,38.2,812,1368
