player,moving_from,moving_to,fee,date,register_country
Nico Elvedi,Borussia Mönchengladbach,Leeds United,toLeeds United,Summer 2026,Germany
Niklas Swider,Borussia Mönchengladbach,Viktoria Köln,on loan toViktoria Köln,Summer 2026,Germany
Jan Urbich,Borussia Mönchengladbach,Eintracht Braunschweig,on loan toEintracht Braunschweig,Summer 2026,Germany
Tiago Pereira Cardoso,Borussia Mönchengladbach,RAAL La Louvière,on loan toRAAL La Louvière,Summer 2026,Germany
Jonas Omlin,Borussia Mönchengladbach,Basel,"toBasel, previously on loan atBayer Leverkusen",Summer 2026,Germany
Noah Pesch,Borussia Mönchengladbach,Rot-Weiss Essen,"toRot-Weiss Essen, previously on loan at1. FC Magdeburg",Summer 2026,Germany
Shiō Fukuda,Borussia Mönchengladbach,Karlsruher SC,"toKarlsruher SC, previously on loan",Summer 2026,Germany
Grant-Leon Ranos,Borussia Mönchengladbach,Tenerife,"toTenerife, previously on loan atEintracht Braunschweig",Summer 2026,Germany
Bilal Nadir,Marseille,Hamburger SV,fromMarseille,Summer 2026,Germany
Martin Adeline,Troyes,Hamburger SV,fromTroyes,Summer 2026,Germany
Terem Moffi,Nice,Hamburger SV,"fromNice, previously on loan atPorto",Summer 2026,Germany
Albert Grønbæk,Rennes,Hamburger SV,"fromRennes, previously on loan",Summer 2026,Germany
Kofi Amoako,Dynamo Dresden,Hamburger SV,fromDynamo Dresden,Summer 2026,Germany
Patson Daka,Leicester City,Hamburger SV,fromLeicester City,Summer 2026,Germany
Noah Katterbach,Hamburger SV,Eintracht Braunschweig,on loan toEintracht Braunschweig,Summer 2026,Germany
Robert Glatzel,Hamburger SV,VfL Wolfsburg,toVfL Wolfsburg,Summer 2026,Germany
Giorgi Gocholeishvili,Hamburger SV,Shakhtar Donetsk,loan return toShakhtar Donetsk,Summer 2026,Germany
Damion Downs,Hamburger SV,Southampton,loan return toSouthampton,Summer 2026,Germany
Fábio Vieira,Hamburger SV,Arsenal,loan return toArsenal,Summer 2026,Germany
Philip Otele,Hamburger SV,Basel,loan return toBasel,Summer 2026,Germany
Hannes Hermann,Hamburger SV,Jahn Regensburg,on loan toJahn Regensburg,Summer 2026,Germany
Luka Vušković,Hamburger SV,Tottenham Hotspur,loan return toTottenham Hotspur,Summer 2026,Germany
Fábio Baldé,Hamburger SV,Strasbourg,toStrasbourg,Summer 2026,Germany
Aboubaka Soumahoro,Hamburger SV,Mallorca,"on loan toMallorca, previously on loan atSaint-Étienne",Summer 2026,Germany
Łukasz Poręba,Hamburger SV,SV Elversberg,"toSV Elversberg, previously on loan",Summer 2026,Germany
Reigan Heskey,Manchester City,1. FC Köln,fromManchester City,Summer 2026,Germany
Gideon Mensah,Auxerre,1. FC Köln,fromAuxerre,Summer 2026,Germany
Jakub Kamiński,VfL Wolfsburg,1. FC Köln,"fromVfL Wolfsburg, previously on loan",Summer 2026,Germany
Martin James,Paris Saint-Germain,1. FC Köln,fromParis Saint-Germain,Summer 2026,Germany
Jahmai Simpson-Pusey,Manchester City,1. FC Köln,"fromManchester City, previously on loan",Summer 2026,Germany
Paul Okon-Engstler,Sydney FC,1. FC Köln,fromSydney FC,Summer 2026,Germany
Luka Lochoshvili,1. FC Nürnberg,1. FC Köln,from1. FC Nürnberg,Summer 2026,Germany
Thijs Dallinga,Bologna,1. FC Köln,on loan fromBologna,Summer 2026,Germany
Gil Neves,Benfica B,1. FC Köln,fromBenfica B,Summer 2026,Germany
Dominique Heintz,1. FC Köln,Fortuna Düsseldorf,toFortuna Düsseldorf,Summer 2026,Germany
Denis Huseinbašić,1. FC Köln,Braga,toBraga,Summer 2026,Germany
Jakub Kamiński,1. FC Köln,Benfica,toBenfica,Summer 2026,Germany
Felipe Chávez,1. FC Köln,Bayern Munich,loan return toBayern Munich,Summer 2026,Germany
Kristoffer Lund,1. FC Köln,Palermo,loan return toPalermo,Summer 2026,Germany
Youssoupha Niang,1. FC Köln,FC St. Pauli,on loan toFC St. Pauli,Summer 2026,Germany
Cenk Özkacar,1. FC Köln,Valencia,loan return toValencia,Summer 2026,Germany
Fynn Schenten,1. FC Köln,Roda JC Kerkrade,on loan toRoda JC Kerkrade,Summer 2026,Germany
Jusuf Gazibegović,1. FC Köln,Widzew Łódź,"on loan toWidzew Łódź, previously on loan atSturm Graz",Summer 2026,Germany
Rasmus Carstensen,1. FC Köln,AGF,"toAGF, previously on loan",Summer 2026,Germany
Karl Hein,Arsenal,Werder Bremen,"fromArsenal, previously on loan",Summer 2026,Germany
Oskar Wójcik,Cracovia,Werder Bremen,fromCracovia,Summer 2026,Germany
Niclas Füllkrug,West Ham United,Werder Bremen,"on loan fromWest Ham United, previously on loan atAC Milan",Summer 2026,Germany
Ludovit Reis,Club Brugge,Werder Bremen,fromClub Brugge,Summer 2026,Germany
Kenny Quetant,Le Havre,Werder Bremen,fromLe Havre,Summer 2026,Germany
Chuki,Valladolid,Werder Bremen,fromValladolid,Summer 2026,Germany
Dariusz Stalmach,1. FC Magdeburg,Werder Bremen,from1. FC Magdeburg,Summer 2026,Germany
Cedric Itten,Fortuna Düsseldorf,Werder Bremen,fromFortuna Düsseldorf,Summer 2026,Germany
Alexander Schlager,Red Bull Salzburg,Werder Bremen,fromRed Bull Salzburg,Summer 2026,Germany
Darwin Soylu,VfL Wolfsburgyouth,Werder Bremen,fromVfL Wolfsburgyouth,Summer 2026,Germany
Leonardo Bittencourt,Werder Bremen,Energie Cottbus,toEnergie Cottbus,Summer 2026,Germany
Jovan Milošević,Werder Bremen,VfB Stuttgart,loan return toVfB Stuttgart,Summer 2026,Germany
Romano Schmid,Werder Bremen,Frosinone,toFrosinone,Summer 2026,Germany
Isaac Schmidt,Werder Bremen,Leeds United,loan return toLeeds United,Summer 2026,Germany
Karim Coulibaly,Werder Bremen,Strasbourg,toStrasbourg,Summer 2026,Germany
Wesley Adeh,Werder Bremen,Preußen Münster,on loan toPreußen Münster,Summer 2026,Germany
Maximilian Wöber,Werder Bremen,Leeds United,loan return toLeeds United,Summer 2026,Germany
Victor Boniface,Werder Bremen,Bayer Leverkusen,loan return toBayer Leverkusen,Summer 2026,Germany
Leon Opitz,Werder Bremen,VfL Osnabrück,"on loan toVfL Osnabrück, previously on loan atKarlsruher SC",Summer 2026,Germany
Robin Gosens,Fiorentina,Schalke 04,on loan fromFiorentina,Summer 2026,Germany
Satoshi Tanaka,Fortuna Düsseldorf,Schalke 04,fromFortuna Düsseldorf,Summer 2026,Germany
Kevin Müller,1. FC Heidenheim,Schalke 04,"from1. FC Heidenheim, previously on loan",Summer 2026,Germany
Maximilian Wöber,Leeds United,Schalke 04,"fromLeeds United, previously on loan atWerder Bremen",Summer 2026,Germany
Felipe Sánchez,Schalke 04,Santos Laguna,on loan toSantos Laguna,Summer 2026,Germany
Luca Podlech,Schalke 04,Aalesund,on loan toAalesund,Summer 2026,Germany
Mika Wallentowitz,Schalke 04,Greuther Fürth,on loan toGreuther Fürth,Summer 2026,Germany
Peter Remmert,Schalke 04,MSV Duisburg,on loan toMSV Duisburg,Summer 2026,Germany
Martin Wasinski,Schalke 04,Almere City,"on loan toAlmere City, previously on loan atRFC Liège",Summer 2026,Germany
Ilyes Hamache,Schalke 04,Cambuur,"toCambuur, previously on loan atAmiens",Summer 2026,Germany
Elias Etringer,SC Freiburgyouth,SV Elversberg,fromSC Freiburgyouth,Summer 2026,Germany
Luca Sirch,1. FC Kaiserslautern,SV Elversberg,from1. FC Kaiserslautern,Summer 2026,Germany
Bambasé Conté,SV Elversberg,TSG Hoffenheim,loan return toTSG Hoffenheim,Summer 2026,Germany
Jarzinho Malanga,SV Elversberg,VfB Stuttgart,loan return toVfB Stuttgart,Summer 2026,Germany
Mohammad Mahmoud,SV Elversberg,Austria Salzburg,toAustria Salzburg,Summer 2026,Germany
Carlo Sickinger,SV Elversberg,Darmstadt 98,toDarmstadt 98,Summer 2026,Germany
Nyamekye Awortwie-Grant,Energie Cottbus,SC Paderborn,fromEnergie Cottbus,Summer 2026,Germany
Tom Baack,1. FC Nürnberg,SC Paderborn,from1. FC Nürnberg,Summer 2026,Germany
Oliver Batista Meier,Preußen Münster,SC Paderborn,fromPreußen Münster,Summer 2026,Germany
Albert Millgramm,1. FC Magdeburg II,SC Paderborn,from1. FC Magdeburg II,Summer 2026,Germany
Jano ter Horst,Preußen Münster,SC Paderborn,fromPreußen Münster,Summer 2026,Germany
Clemens Lippmann,1860 Munich,SC Paderborn,from1860 Munich,Summer 2026,Germany
Gabriel Vidović,Dinamo Zagreb,SC Paderborn,fromDinamo Zagreb,Summer 2026,Germany
Timur Gayret,SC Verl,SC Paderborn,fromSC Verl,Summer 2026,Germany
Marvin Pieringer,1. FC Heidenheim,SC Paderborn,from1. FC Heidenheim,Summer 2026,Germany
David Kinsombi,SC Paderborn,Würzburger Kickers,toWürzburger Kickers,Summer 2026,Germany
Mika Baur,SC Paderborn,Celtic,toCeltic,Summer 2026,Germany
Lucas Copado,SC Paderborn,Energie Cottbus,toEnergie Cottbus,Summer 2026,Germany
Bennit Bröger,SC Paderborn,Fortuna Köln,on loan toFortuna Köln,Summer 2026,Germany
Dennis Seimen,SC Paderborn,VfB Stuttgart,loan return toVfB Stuttgart,Summer 2026,Germany
Martin Ens,SC Paderborn,MSV Duisburg,"on loan toMSV Duisburg, previously on loan atSC Verl",Summer 2026,Germany
Marco Wörner,SC Paderborn,Jahn Regensburg,"on loan toJahn Regensburg, previously on loan atSC Verl",Summer 2026,Germany
Timon Wellenreuther,Feyenoord,VfL Wolfsburg,fromFeyenoord,Summer 2026,Germany
Hauke Wahl,FC St. Pauli,VfL Wolfsburg,fromFC St. Pauli,Summer 2026,Germany
Fraser Hornby,Darmstadt 98,VfL Wolfsburg,fromDarmstadt 98,Summer 2026,Germany
Fabian Reese,Hertha BSC,VfL Wolfsburg,fromHertha BSC,Summer 2026,Germany
Alexander Bernhardsson,Holstein Kiel,VfL Wolfsburg,fromHolstein Kiel,Summer 2026,Germany
Alessio Besio,SC Freiburg II,VfL Wolfsburg,"fromSC Freiburg II, previously on loan atSC Verl",Summer 2026,Germany
Kamil Grabara,VfL Wolfsburg,Juventus,on loan toJuventus,Summer 2026,Germany
Konstantinos Koulierakis,VfL Wolfsburg,Roma,toRoma,Summer 2026,Germany
Jeanuël Belocian,VfL Wolfsburg,Bayer Leverkusen,loan return toBayer Leverkusen,Summer 2026,Germany
Lovro Majer,VfL Wolfsburg,AEK Athens,toAEK Athens,Summer 2026,Germany
Adam Daghim,VfL Wolfsburg,Red Bull Salzburg,loan return toRed Bull Salzburg,Summer 2026,Germany
Jenson Seelt,VfL Wolfsburg,Sunderland,loan return toSunderland,Summer 2026,Germany
Jesper Lindstrøm,VfL Wolfsburg,Napoli,loan return toNapoli,Summer 2026,Germany
Jonas Wind,VfL Wolfsburg,Braga,toBraga,Summer 2026,Germany
Marius Müller,VfL Wolfsburg,Aberdeen,toAberdeen,Summer 2026,Germany
Till Neininger,VfL Wolfsburg,Dynamo Dresden,on loan toDynamo Dresden,Summer 2026,Germany
Kevin Paredes,VfL Wolfsburg,Utrecht,toUtrecht,Summer 2026,Germany
Jan Bürger,VfL Wolfsburg,PEC Zwolle,toPEC Zwolle,Summer 2026,Germany
Elia Dittrich,VfL Wolfsburg,Eintracht Trier,on loan toEintracht Trier,Summer 2026,Germany
Andreas Skov Olsen,VfL Wolfsburg,İstanbul Başakşehir,"on loan toİstanbul Başakşehir, previously on loan atRangers",Summer 2026,Germany
Bartol Franjić,VfL Wolfsburg,Venezia,"toVenezia, previously on loan",Summer 2026,Germany
Jakub Kamiński,VfL Wolfsburg,1. FC  Köln,"to1. FC  Köln, previously on loan",Summer 2026,Germany
Paul Hennrich,TSG Hoffenheim II,1. FC Heidenheim,fromTSG Hoffenheim II,Summer 2026,Germany
Oualid Mhamdi,SC Verl,1. FC Heidenheim,fromSC Verl,Summer 2026,Germany
Marcel Costly,FC Ingolstadt,1. FC Heidenheim,fromFC Ingolstadt,Summer 2026,Germany
Michael Heule,Thun,1. FC Heidenheim,fromThun,Summer 2026,Germany
Thomas Dähne,1860 Munich,1. FC Heidenheim,from1860 Munich,Summer 2026,Germany
Benedikt Gimber,1. FC Heidenheim,Granada,toGranada,Summer 2026,Germany
Eren Dinkçi,1. FC Heidenheim,SC Freiburg,loan return toSC Freiburg,Summer 2026,Germany
Stefan Schimmer,1. FC Heidenheim,Buriram United,toBuriram United,Summer 2026,Germany
Adrian Beck,1. FC Heidenheim,VfL Osnabrück,on loan toVfL Osnabrück,Summer 2026,Germany
Arijon Ibrahimović,1. FC Heidenheim,Bayern Munich,loan return toBayern Munich,Summer 2026,Germany
Omar Haktab Traoré,1. FC Heidenheim,Udinese,toUdinese,Summer 2026,Germany
Hennes Behrens,1. FC Heidenheim,TSG Hoffenheim,loan return toTSG Hoffenheim,Summer 2026,Germany
Niklas Dorsch,1. FC Heidenheim,Toronto FC,toToronto FC,Summer 2026,Germany
Nick Rothweiler,1. FC Heidenheim,Hessen Kassel,on loan toHessen Kassel,Summer 2026,Germany
Diant Ramaj,1. FC Heidenheim,Borussia Dortmund,loan return toBorussia Dortmund,Summer 2026,Germany
Luka Janeš,1. FC Heidenheim,Tasmania Berlin,"on loan toTasmania Berlin, previously on loan atSonnenhof Großaspach",Summer 2026,Germany
Thomas Keller,1. FC Heidenheim,Dynamo Dresden,"toDynamo Dresden, previously on loan",Summer 2026,Germany
Rony Jansson,Kalmar,FC St. Pauli,fromKalmar,Summer 2026,Germany
Gísli Þórðarson,Lech Poznań,FC St. Pauli,on loan fromLech Poznań,Summer 2026,Germany
Marcus Mathisen,1. FC Magdeburg,FC St. Pauli,from1. FC Magdeburg,Summer 2026,Germany
Branimir Hrgota,Greuther Fürth,FC St. Pauli,fromGreuther Fürth,Summer 2026,Germany
Sam Klein,Brisbane Roar,FC St. Pauli,fromBrisbane Roar,Summer 2026,Germany
Dimitar Mitov,Aberdeen,FC St. Pauli,fromAberdeen,Summer 2026,Germany
Manolis Saliakas,FC St. Pauli,Olympiacos,toOlympiacos,Summer 2026,Germany
Karol Mets,FC St. Pauli,VfL Bochum,toVfL Bochum,Summer 2026,Germany
James Sands,FC St. Pauli,New York City FC,loan return toNew York City FC,Summer 2026,Germany
Jackson Irvine,FC St. Pauli,Cerezo Osaka,toCerezo Osaka,Summer 2026,Germany
Danel Sinani,FC St. Pauli,Sampdoria,toSampdoria,Summer 2026,Germany
Fin Stevens,FC St. Pauli,Leyton Orient,toLeyton Orient,Summer 2026,Germany
Nikola Vasilj,FC St. Pauli,Al-Diriyah,toAl-Diriyah,Summer 2026,Germany
Andréas Hountondji,FC St. Pauli,Burnley,loan return toBurnley,Summer 2026,Germany
Jannik Robatsch,FC St. Pauli,Beveren,on loan toBeveren,Summer 2026,Germany
Emil Gazdov,FC St. Pauli,CF Montréal,loan return toCF Montréal,Summer 2026,Germany
Pascal Loretz,Luzern,Hannover 96,fromLuzern,Summer 2026,Germany
Jean Hugonet,1. FC Magdeburg,Hannover 96,from1. FC Magdeburg,Summer 2026,Germany
Marcel Hartel,St. Louis City SC,Hannover 96,fromSt. Louis City SC,Summer 2026,Germany
Daisuke Yokota,Gent,Hannover 96,"fromGent, previously on loan",Summer 2026,Germany
Yunus Ünal,Hertha BSCyouth,Hannover 96,fromHertha BSCyouth,Summer 2026,Germany
Taycan Etçibaşı,Borussia Dortmund Youth Sector,Hannover 96,fromBorussia Dortmund Youth Sector,Summer 2026,Germany
Nahuel Noll,Hannover 96,TSG Hoffenheim,loan return toTSG Hoffenheim,Summer 2026,Germany
Hendry Blank,Hannover 96,Red Bull Salzburg,loan return toRed Bull Salzburg,Summer 2026,Germany
Maik Nawrocki,Hannover 96,Celtic,loan return toCeltic,Summer 2026,Germany
Noah Weißhaupt,Hannover 96,SC Freiburg,loan return toSC Freiburg,Summer 2026,Germany
Daisuke Yokota,Hannover 96,Rangers,toRangers,Summer 2026,Germany
William Kokolo,Hannover 96,Nacional,on loan toNacional,Summer 2026,Germany
Elias Saad,Hannover 96,FC Augsburg,loan return toFC Augsburg,Summer 2026,Germany
Brooklyn Ezeh,Hannover 96,Dynamo Dresden,toDynamo Dresden,Summer 2026,Germany
Leon-Oumar Wechsel,Hannover 96,Eintracht Trier,"toEintracht Trier, previously on loan atJahn Regensburg",Summer 2026,Germany
Jonas Sterner,Hannover 96,Dynamo Dresden,"toDynamo Dresden, previously on loan",Summer 2026,Germany
Jannik Rochelt,Hannover 96,Arminia Bielefeld,"toArminia Bielefeld, previously on loan",Summer 2026,Germany
Florian Kleinhansl,1. FC Kaiserslautern,Darmstadt 98,from1. FC Kaiserslautern,Summer 2026,Germany
Grayson Dettoni,Bayern Munich II,Darmstadt 98,"fromBayern Munich II, previously on loan",Summer 2026,Germany
Lee Ho-jae,Pohang Steelers,Darmstadt 98,fromPohang Steelers,Summer 2026,Germany
Nicolas Verkooijen,Jong PSV,Darmstadt 98,fromJong PSV,Summer 2026,Germany
Ibrahim El Kadiri,De Graafschap,Darmstadt 98,fromDe Graafschap,Summer 2026,Germany
Hiroki Akiyama,Albirex Niigata,Darmstadt 98,"fromAlbirex Niigata, previously on loan",Summer 2026,Germany
Lars Kehl,VfL Osnabrück,Darmstadt 98,fromVfL Osnabrück,Summer 2026,Germany
Christopher Lannert,Arminia Bielefeld,Darmstadt 98,fromArminia Bielefeld,Summer 2026,Germany
Milan Smit,Stoke City,Darmstadt 98,on loan fromStoke City,Summer 2026,Germany
Lance Duijvestijn,Sparta Rotterdam,Darmstadt 98,"fromSparta Rotterdam, previously on loan atFortuna Sittard",Summer 2026,Germany
Yannik Lührs,TSG Hoffenheim II,Darmstadt 98,fromTSG Hoffenheim II,Summer 2026,Germany
Sergio López,Darmstadt 98,Granada,toGranada,Summer 2026,Germany
Matej Maglica,Darmstadt 98,Kocaelispor,toKocaelispor,Summer 2026,Germany
Serhat-Semih Güler,Darmstadt 98,Sportfreunde Siegen,toSportfreunde Siegen,Summer 2026,Germany
Marco Richter,Darmstadt 98,Mainz 05,loan return toMainz 05,Summer 2026,Germany
Bartosz Białek,Darmstadt 98,Wieczysta Kraków,toWieczysta Kraków,Summer 2026,Germany
Niklas Schmidt,Darmstadt 98,Toulouse,loan return toToulouse,Summer 2026,Germany
Killian Corredor,Darmstadt 98,Nantes,toNantes,Summer 2026,Germany
Leon Klassen,Darmstadt 98,Grazer AK,"toGrazer AK, previously on loan",Summer 2026,Germany
Paul Will,Darmstadt 98,Greuther Fürth,"toGreuther Fürth, previously on loan",Summer 2026,Germany
Alex Murphy,Newcastle United,1. FC Kaiserslautern,on loan fromNewcastle United,Summer 2026,Germany
Ibrahim Kanaté,Anderlecht,1. FC Kaiserslautern,on loan fromAnderlecht,Summer 2026,Germany
Mário Sauer,Toulouse,1. FC Kaiserslautern,on loan fromToulouse,Summer 2026,Germany
Paul Joly,Auxerre,1. FC Kaiserslautern,"fromAuxerre, previously on loan",Summer 2026,Germany
Yannick Onohiol,TSG Hoffenheim II,1. FC Kaiserslautern,fromTSG Hoffenheim II,Summer 2026,Germany
Thierry Tazemeta,Borussia Dortmund Youth Sector,1. FC Kaiserslautern,fromBorussia Dortmund Youth Sector,Summer 2026,Germany
Miloš Luković,Strasbourg,1. FC Kaiserslautern,"on loan fromStrasbourg, previously on loan atPreston North End",Summer 2026,Germany
Mahir Emreli,1. FC Kaiserslautern,Raków Częstochowa,on loan toRaków Częstochowa,Summer 2026,Germany
Erik Wekesser,1. FC Kaiserslautern,Fortuna Düsseldorf,toFortuna Düsseldorf,Summer 2026,Germany
Norman Bassette,1. FC Kaiserslautern,Coventry City,loan return toCoventry City,Summer 2026,Germany
Daniel Hanslik,1. FC Kaiserslautern,VfL Bochum,toVfL Bochum,Summer 2026,Germany
Simon Simoni,1. FC Kaiserslautern,Eintracht Frankfurt,loan return toEintracht Frankfurt,Summer 2026,Germany
Jannis Heuer,1. FC Kaiserslautern,Greuther Fürth,"toGreuther Fürth, previously on loan atPreußen Münster",Summer 2026,Germany
Dickson Abiama,1. FC Kaiserslautern,Rot-Weiss Essen,"toRot-Weiss Essen, previously on loan",Summer 2026,Germany
Faride Alidou,1. FC Kaiserslautern,Holstein Kiel,"toHolstein Kiel, previously on loan atEintracht Braunschweig",Summer 2026,Germany
Oluwaseun Adewumi,Burnley,Hertha BSC,"on loan fromBurnley, previously on loan atCercle Brugge",Summer 2026,Germany
Tjark Ernst,Hertha BSC,Feyenoord,toFeyenoord,Summer 2026,Germany
Michaël Cuisance,Hertha BSC,Lens,toLens,Summer 2026,Germany
Maurice Krattenmacher,Hertha BSC,Bayern Munich,loan return toBayern Munich,Summer 2026,Germany
Marten Winkler,Hertha BSC,Anderlecht,toAnderlecht,Summer 2026,Germany
John Brooks,Hertha BSC,VSG Altglienicke,toVSG Altglienicke,Summer 2026,Germany
Jeremy Dudziak,Hertha BSC,Beijing Guoan,toBeijing Guoan,Summer 2026,Germany
Michał Karbownik,Hertha BSC,İstanbul Başakşehir,toİstanbul Başakşehir,Summer 2026,Germany
Janne Berner,Hertha BSC,SC Verl,on loan toSC Verl,Summer 2026,Germany
Tim Hoffmann,Hertha BSC,SC Verl,toSC Verl,Summer 2026,Germany
Alexis Kalogeropoulos,Olympiacos,1. FC Nürnberg,fromOlympiacos,Summer 2026,Germany
Rayan Ghrieb,1. FC Magdeburg,1. FC Nürnberg,from1. FC Magdeburg,Summer 2026,Germany
Sigurd Haugen,1860 Munich,1. FC Nürnberg,from1860 Munich,Summer 2026,Germany
Andrea Ceresoli,Atalanta U23,1. FC Nürnberg,"fromAtalanta U23, previously on loan atBenevento",Summer 2026,Germany
Mikayil Faye,Rennes,1. FC Nürnberg,"on loan fromRennes, previously on loan atCremonese",Summer 2026,Germany
Fynn Otto,SC Verl,1. FC Nürnberg,fromSC Verl,Summer 2026,Germany
Giannis Masouras,Omonia,1. FC Nürnberg,fromOmonia,Summer 2026,Germany
Can Moustfa,Energie Cottbus,1. FC Nürnberg,fromEnergie Cottbus,Summer 2026,Germany
Xaver Kiefersauer,1860 Munich II,1. FC Nürnberg,from1860 Munich II,Summer 2026,Germany
Danilo Soares,1. FC Nürnberg,Austria Lustenau,toAustria Lustenau,Summer 2026,Germany
Mickaël Biron,1. FC Nürnberg,Batman Petrolspor,on loan toBatman Petrolspor,Summer 2026,Germany
Henri Koudossou,1. FC Nürnberg,FC Augsburg,loan return toFC Augsburg,Summer 2026,Germany
Ayoub Chaikhoun,1. FC Nürnberg,Wehen Wiesbaden,on loan toWehen Wiesbaden,Summer 2026,Germany
Eryk Grzywacz,1. FC Nürnberg,VfL Wolfsburg,loan return toVfL Wolfsburg,Summer 2026,Germany
Berkay Yılmaz,1. FC Nürnberg,SC Freiburg,loan return toSC Freiburg,Summer 2026,Germany
Rabby Nzingoula,1. FC Nürnberg,Strasbourg,loan return toStrasbourg,Summer 2026,Germany
Tarek Buchmann,1. FC Nürnberg,Bayern Munich,loan return toBayern Munich,Summer 2026,Germany
Noah Maboulou,1. FC Nürnberg,Viktoria Köln,on loan toViktoria Köln,Summer 2026,Germany
Xaver Kiefersauer,1. FC Nürnberg,Würzburger Kickers,on loan toWürzburger Kickers,Summer 2026,Germany
Michal Kukučka,1. FC Nürnberg,Jablonec,"on loan toJablonec, previously on loan atKoper",Summer 2026,Germany
Semir Telalović,1. FC Nürnberg,Rot-Weiss Essen,"on loan toRot-Weiss Essen, previously on loan atArminia Bielefeld",Summer 2026,Germany
Jannik Hofmann,1. FC Nürnberg,Rot-Weiss Essen,"toRot-Weiss Essen, previously on loan",Summer 2026,Germany
Nick Seidel,1. FC Nürnberg,SC Verl,"toSC Verl, previously on loan atJahn Regensburg",Summer 2026,Germany
Florian Flick,1. FC Nürnberg,Eintracht Braunschweig,"toEintracht Braunschweig, previously on loan",Summer 2026,Germany
Dustin Forkel,1. FC Nürnberg,Rot-Weiß Erfurt,"toRot-Weiß Erfurt, previously on loan atSchweinfurt 05",Summer 2026,Germany
Yiğit Karademir,VfL Osnabrück,VfL Bochum,fromVfL Osnabrück,Summer 2026,Germany
Enis Çokaj,Panathinaikos,VfL Bochum,"fromPanathinaikos, previously on loan atLevadiakos",Summer 2026,Germany
Christian Rasmussen,Fortuna Düsseldorf,VfL Bochum,fromFortuna Düsseldorf,Summer 2026,Germany
Jean-Manuel Mbom,Viborg,VfL Bochum,fromViborg,Summer 2026,Germany
Berkan Taz,SC Verl,VfL Bochum,fromSC Verl,Summer 2026,Germany
Michael Steinwender,Heart of Midlothian,VfL Bochum,fromHeart of Midlothian,Summer 2026,Germany
Tino Casali,Rot-Weiss Essen,VfL Bochum,fromRot-Weiss Essen,Summer 2026,Germany
Babis Drakas,Borussia Dortmund II,VfL Bochum,fromBorussia Dortmund II,Summer 2026,Germany
