player,moving_from,moving_to,fee,date,register_country
Cédric Zesiger,FC Augsburg,Young Boys,toYoung Boys,Summer 2026,Germany
Keven Schlotterbeck,FC Augsburg,Southampton,toSouthampton,Summer 2026,Germany
Felix Meiser,FC Augsburg,Fortuna Düsseldorf,toFortuna Düsseldorf,Summer 2026,Germany
Oliver Sorg,FC Augsburg,SV Ried,toSV Ried,Summer 2026,Germany
Marcel Łubik,FC Augsburg,Wisła Kraków,"on loan toWisła Kraków, previously on loan atGórnik Zabrze",Summer 2026,Germany
Yusuf Kabadayı,FC Augsburg,Rijeka,"on loan toRijeka, previously on loan atGaziantep",Summer 2026,Germany
Kyliane Dong,FC Augsburg,Bolton Wanderers,"on loan toBolton Wanderers, previously on loan atPau",Summer 2026,Germany
Elias Saad,FC Augsburg,Nashville SC,"on loan toNashville SC, previously on loan atHannover 96",Summer 2026,Germany
Aiman Dardari,FC Augsburg,Rot-Weiss Essen,"on loan toRot-Weiss Essen, previously on loan atGreuther Fürth",Summer 2026,Germany
Maximilian Bauer,FC Augsburg,Arminia Bielefeld,"toArminia Bielefeld, previously on loan",Summer 2026,Germany
David Čolina,FC Augsburg,Zagłębie Lubin,"toZagłębie Lubin, previously on loan atOsijek",Summer 2026,Germany
Henri Koudossou,FC Augsburg,Arminia Bielefeld,"toArminia Bielefeld, previously on loan at1. FC Nürnberg",Summer 2026,Germany
Alexander Schwolow,Heart of Midlothian,Mainz 05,fromHeart of Midlothian,Summer 2026,Germany
Fabio Gruber,1. FC Nürnberg,Mainz 05,from1. FC Nürnberg,Summer 2026,Germany
Stefan Posch,Como,Mainz 05,"fromComo, previously on loan",Summer 2026,Germany
Eric Martel,1. FC Köln,Mainz 05,from1. FC Köln,Summer 2026,Germany
Ransford Königsdörffer,Hamburger SV,Mainz 05,fromHamburger SV,Summer 2026,Germany
Sheraldo Becker,Osasuna,Mainz 05,"fromOsasuna, previously on loan",Summer 2026,Germany
Sōta Kawasaki,Kyoto Sanga,Mainz 05,"fromKyoto Sanga, previously on loan",Summer 2026,Germany
Lasse Rieß,Mainz 05,Fortuna Düsseldorf,on loan toFortuna Düsseldorf,Summer 2026,Germany
Armindo Sieb,Mainz 05,Bayern Munich,loan return toBayern Munich,Summer 2026,Germany
Kasey Bos,Mainz 05,Excelsior,on loan toExcelsior,Summer 2026,Germany
Nikolas Veratschnig,Mainz 05,Red Bull Salzburg,toRed Bull Salzburg,Summer 2026,Germany
Niklas Tauer,Mainz 05,TSV Havelse,toTSV Havelse,Summer 2026,Germany
Daniel Batz,Mainz 05,Borussia Mönchengladbach,toBorussia Mönchengladbach,Summer 2026,Germany
Daniel Gleiber,Mainz 05,1. FC Saarbrücken,on loan to1. FC Saarbrücken,Summer 2026,Germany
Nelson Weiper,Mainz 05,Sturm Graz,on loan toSturm Graz,Summer 2026,Germany
Maxim Dal,Mainz 05,Greuther Fürth,toGreuther Fürth,Summer 2026,Germany
Tom Krauß,Mainz 05,1. FC Köln,"to1. FC Köln, previously on loan",Summer 2026,Germany
Ben Bobzien,Mainz 05,Dynamo Dresden,"toDynamo Dresden, previously on loan",Summer 2026,Germany
Arnaud Nordin,Mainz 05,Rennes,"toRennes, previously on loan",Summer 2026,Germany
Felix Uduokhai,Beşiktaş,Union Berlin,fromBeşiktaş,Summer 2026,Germany
Zeno Van Den Bosch,Royal Antwerp,Union Berlin,fromRoyal Antwerp,Summer 2026,Germany
Marvin Friedrich,Borussia Mönchengladbach,Union Berlin,fromBorussia Mönchengladbach,Summer 2026,Germany
Michel Aebischer,Pisa,Union Berlin,fromPisa,Summer 2026,Germany
Emmanuel Latte Lath,Atlanta United,Union Berlin,on loan fromAtlanta United,Summer 2026,Germany
Danilho Doekhi,Union Berlin,Lazio,toLazio,Summer 2026,Germany
David Preu,Union Berlin,VfB Stuttgart II,toVfB Stuttgart II,Summer 2026,Germany
Dmytro Bohdanov,Union Berlin,Energie Cottbus,on loan toEnergie Cottbus,Summer 2026,Germany
Alex Král,Union Berlin,Copenhagen,toCopenhagen,Summer 2026,Germany
Tim Blaszczak,Union Berlin,FSV Luckenwalde,on loan toFSV Luckenwalde,Summer 2026,Germany
Leon Prosche,Union Berlin,Erzgebirge Aue,on loan toErzgebirge Aue,Summer 2026,Germany
Yannic Stein,Union Berlin,Hansa Rostock,"toHansa Rostock, previously on loan atBabelsberg 03",Summer 2026,Germany
László Bénes,Union Berlin,Gent,"toGent, previously on loan atKayserispor",Summer 2026,Germany
Chris Bedia,Union Berlin,Al-Nasr,"toAl-Nasr, previously on loan atYoung Boys",Summer 2026,Germany
